dealer_id,city,make,dealer_name,dealer_address,details_url,dealer_location,img_url,local_img_url,title,type,price,miles,engine_details,transmission,mileage,vin,stock,star,created_at
24013100,shady-shores-tx,acura,Eckert Hyundai Pre-Owned,Denton,https://driverbase.com/vehicle/21501219/2021-acura-tlx-in-denton-tx/19UUB5F5XMA005154,"TX

    
(2.71 miles)",https://cdn.getauto.com/photos/1/84171/1c/19UUB5F5XMA005154-1c.jpg,shady_shores_tx_acura/2021_ACURA_TLX_w_A-Spec19UUB5F5XMA0051546067A.jpg,2021 ACURA TLX w/A-Spec,Preowned,30312,"44,118", 0.0L 2.0L Turbo I4 272hp 280ft Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City , Highway: ",19UUB5F5XMA005154,6067A,5,2024-01-31 18:22:02.571586
24013101,shady-shores-tx,acura,James Wood Buick GMC Denton,Denton,https://driverbase.com/vehicle/21982451/2022-acura-mdx-type-s-in-denton-tx/5J8YD8H87NL005218,"TX

    
(2.84 miles)",https://cdn.getauto.com/photos/7/397/1c/5J8YD8H87NL005218-1c.jpg,shady_shores_tx_acura/2022_ACURA_MDX_Type_S_SH-AWD_Type_S_w_Advance_Package5J8YD8H87NL005218241248A1.jpg,2022 ACURA MDX Type S SH-AWD Type S w/Advance Package,Preowned,55977,"30,473", 3.0L 6 Cylinders, 10-Speed Shiftable Automatic  AWD," MPG: City 17, Highway: 21",5J8YD8H87NL005218,241248A1,5,2024-01-31 18:22:15.411670
24013100,shady-shores-tx,acura,James Wood Buick GMC Denton,Denton,https://driverbase.com/vehicle/21684563/2020-acura-rdx-in-denton-tx/5J8TC1H60LL003357,"TX

    
(2.84 miles)",https://cdn.getauto.com/photos/7/397/1c/5J8TC1H60LL003357-1c.jpg,shady_shores_tx_acura/2020_ACURA_RDX_w_A-SPEC5J8TC1H60LL003357232933A1.jpg,2020 ACURA RDX w/A-SPEC,Preowned,30977,"33,374", 2.0L 4 Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City 22, Highway: 27",5J8TC1H60LL003357,232933A1,5,2024-01-31 18:22:28.986542
24013101,shady-shores-tx,acura,Ewing Buick GMC,Plano,https://driverbase.com/vehicle/22416883/2023-acura-mdx-in-plano-tx/5J8YE1H01PL035977,"TX

    
(16.65 miles)",http://vehicle-photos-published.vauto.com/97/56/60/11-3861-4504-a9d3-1b025188756d/image-1.jpg,shady_shores_tx_acura/2023_ACURA_MDX_A-Spec5J8YE1H01PL035977PL035977.jpg,2023 ACURA MDX A-Spec,Preowned,49494,"9,801", 3.5L 6 Cylinders, Automatic  AWD," MPG: City 19, Highway: 25",5J8YE1H01PL035977,PL035977,5,2024-01-31 18:22:43.762042
24013101,shady-shores-tx,acura,Mercedes-Benz of Plano,Plano,https://driverbase.com/vehicle/22341362/2017-acura-mdx-in-plano-tx/5FRYD4H86HB025098,"TX

    
(16.67 miles)",http://vehicle-photos-published.vauto.com/5f/2e/d6/c5-0ee6-424a-a0d0-93843bcb8f4e/image-1.jpg,shady_shores_tx_acura/2017_ACURA_MDX_3.5L5FRYD4H86HB025098BHB025098.jpg,2017 ACURA MDX 3.5L,Preowned,28500,"40,460", 3.5L 6 Cylinders, Automatic  AWD," MPG: City 19, Highway: 26",5FRYD4H86HB025098,BHB025098,5,2024-01-31 18:22:54.593186
24013101,shady-shores-tx,acura,Ewing Subaru of Plano,Plano,https://driverbase.com/vehicle/22368645/2019-acura-rdx-in-plano-tx/5J8TC2H32KL041943,"TX

    
(18.40 miles)",http://vehicle-photos-published.vauto.com/7a/7a/47/0f-73b2-4410-a7fb-3fb56038d4e3/image-1.jpg,shady_shores_tx_acura/2019_ACURA_RDX_Base5J8TC2H32KL041943KL041943.jpg,2019 ACURA RDX Base,Preowned,26864,"59,253", 2L 4 Cylinders, Automatic  AWD," MPG: City 21, Highway: 27",5J8TC2H32KL041943,KL041943,5,2024-01-31 18:23:08.126958
24013101,shady-shores-tx,acura,Classic Chevrolet,Grapevine,https://driverbase.com/vehicle/22301520/2018-acura-rdx-in-grapevine-tx/5J8TB3H37JL011439,"TX

    
(19.42 miles)",https://cdn.getauto.com/photos/0/17300/1c/5J8TB3H37JL011439-1c.jpg,shady_shores_tx_acura/2018_ACURA_RDX_Base5J8TB3H37JL011439JL011439.jpg,2018 ACURA RDX Base,Preowned,20000,"67,280", 3.5L 6 Cylinders, 6-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 28",5J8TB3H37JL011439,JL011439,5,2024-01-31 18:23:19.942387
24013100,shady-shores-tx,acura,Classic Chevrolet,Grapevine,https://driverbase.com/vehicle/21871513/2017-acura-rlx-in-grapevine-tx/JH4KC1F58HC000877,"TX

    
(19.42 miles)",https://cdn.getauto.com/photos/0/17300/1c/JH4KC1F58HC000877-1c.jpg,shady_shores_tx_acura/2017_ACURA_RLX_w_TechJH4KC1F58HC000877HC000877.jpg,2017 ACURA RLX w/Tech,Preowned,27000,"30,583", 3.5L 6 Cylinders, 6-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 30",JH4KC1F58HC000877,HC000877,5,2024-01-31 18:23:34.031415
24013100,shady-shores-tx,acura,Classic Chevrolet,Grapevine,https://driverbase.com/vehicle/22162682/2020-acura-rdx-in-grapevine-tx/5J8TC1H39LL022009,"TX

    
(19.42 miles)",https://cdn.getauto.com/photos/0/17300/1c/5J8TC1H39LL022009-1c.jpg,shady_shores_tx_acura/2020_ACURA_RDX_Base5J8TC1H39LL022009LL022009.jpg,2020 ACURA RDX Base,Preowned,29000,"24,210", 2.0L 4 Cylinders, 10-Speed Shiftable Automatic  FWD," MPG: City 22, Highway: 28",5J8TC1H39LL022009,LL022009,5,2024-01-31 18:23:48.905135
24013100,shady-shores-tx,acura,Classic Chevrolet,Grapevine,https://driverbase.com/vehicle/22463780/2017-acura-rdx-in-grapevine-tx/5J8TB3H50HL020415,"TX

    
(19.42 miles)",https://cdn.getauto.com/photos/0/17300/1c/5J8TB3H50HL020415-1c.jpg,shady_shores_tx_acura/2017_ACURA_RDX_5J8TB3H50HL020415HL020415.jpg,2017 ACURA RDX ,Preowned,23000,"53,334", 3.5L 6 Cylinders, 6-Speed Shiftable Automatic  FWD," MPG: City 20, Highway: 28",5J8TB3H50HL020415,HL020415,5,2024-01-31 18:24:00.745961
